epoch,phase,train_loss,train_semantic_loss,train_manual_affinity_loss,train_pseudo_affinity_loss,semantic_iou_pearlite,semantic_iou_ferrite,semantic_miou,val_objective_loss,val_semantic_loss,val_manual_affinity_loss,phase_loss_best,deployment_score_total,deployment_instance_miou,deployment_ferrite_area_error,deployment_macro_score,deployment_pred_count,deployment_valid_matches,appearance_aug_probability,lr_semantic,lr_affinity
1,head_warmup,1.1137411948293447,0.9657766601303592,0.6860680235549808,0.0,0.8589580617333142,0.9467985942613597,0.9028783279973369,0.9956453442573547,0.21646144365270933,0.6708191335201263,1,0.0,0.0,122.92098543501227,0.0,6,0,0.0,9.99321619703514e-05,4.996642360148706e-05
2,head_warmup,0.9791647465899587,0.5371701923431829,0.6308915931731462,0.0,0.8423518413574298,0.9458415564690689,0.8940966989132493,0.881064643462499,0.24710145716865858,0.5886825621128082,1,37.91529070396345,0.758305814079269,5.04413873601739,37.82245249901181,266,145,0.0,9.972883382072952e-05,4.98657864365227e-05
3,head_warmup,0.8392187524586916,0.24227817420614883,0.5601088535040617,0.0,0.8659271400689379,0.9493105638638736,0.9076188519664057,0.8135573863983154,0.17915592839320502,0.5479339758555094,1,55.28953203452937,0.7702998557165173,0.6645092150259297,54.244960978587464,694,434,0.0,9.939057285945931e-05,4.9698364344580884e-05
4,head_warmup,0.7807871010154486,0.19237034698016942,0.5240471353754401,0.0,0.8576746913225581,0.9427062530116016,0.9001904721670799,0.7534810801347097,0.1796301268041134,0.5062543501456579,1,83.70445880242153,0.7975943663457531,0.12350519029732263,77.7867074686608,940,567,0.0,9.891830623632337e-05,4.946461621797825e-05
5,head_warmup,0.756515022367239,0.2678488807287067,0.5005160444416106,0.0,0.8945480098776185,0.9629638534463105,0.9287559316619645,0.7351628839969635,0.14165287340680757,0.496933917204539,1,89.23692821870193,0.7942440648477798,0.009505500473741173,83.05614070590048,1023,610,0.0,9.831332840130886e-05,4.916518274408218e-05
6,head_warmup,0.7258190782740712,0.1461946428171359,0.4900542632676661,0.0,0.9060173491954245,0.9653469102337828,0.9356821297146036,0.7122054100036621,0.1062145996838808,0.48417244851589203,1,89.01945203004134,0.7979456132355374,0.017556572634710672,83.40082107426684,1028,603,0.0,9.75772975566101e-05,4.880088464923128e-05
7,head_warmup,0.6987734623253345,0.10397713107522577,0.47506194841116667,0.0,0.8986070928255808,0.9646827937259133,0.931644943275747,0.6925007800261179,0.1254345184812943,0.46880732476711273,1,86.80303424521426,0.8026613627806307,0.06660067787634526,84.21632052846205,1052,634,0.0,9.671223111161148e-05,4.837272044918145e-05
8,head_warmup,0.6846520407125354,0.10121469164732844,0.46552025247365236,0.0,0.9095373483656602,0.9681598684736984,0.9388486084196793,0.6722004115581512,0.10685729359587033,0.45638878643512726,1,86.60087874958336,0.8014372495227517,0.06941967453108479,83.95942874288245,1058,655,0.0,9.572050015330873e-05,4.7881863712243726e-05
9,head_warmup,0.6616770215332508,0.09499581146519631,0.4501495468430221,0.0,0.8871389922661714,0.956768889098899,0.9219539406825352,0.6881954570611318,0.12220847606658936,0.4661101351181666,0,84.95295726081693,0.7781685479434611,0.07910940272712236,82.8999297084538,1083,661,0.0,9.46048229473242e-05,4.7329659842615016e-05
10,head_warmup,0.6582590956240892,0.17506343923741952,0.4406640944071114,0.0,0.9098918473576181,0.9665151097300733,0.9382034785438457,0.6417380174001058,0.10242036605874698,0.4356703708569209,1,83.92708805579545,0.7968657381094782,0.11832397699356907,83.4498487300758,1103,680,0.0,9.336825748732971e-05,4.671762239271876e-05
